Source,Target,Weight
34,41,6.6916
34,42,0.93171
34,50,101.9784
34,52,40.6266
34,53,1.878
34,54,30.72
35,1,2.3456
35,2,6.3055
35,4,13.7819
35,5,93.0513
35,12,9.7718
35,16,30.3391
35,19,153.2641
35,21,8.0123
35,22,86.6583
35,23,94.3066
35,24,3.6875
35,25,57.5581
35,27,10.8848
35,28,4.9054
35,30,33.5299
35,33,18.5429
35,34,0.32729
35,36,60.3865
35,39,73.5149
35,40,35.9932
35,41,14.4268
35,45,3.2922
35,46,0.41813
35,47,4.4433
35,48,47.355
35,50,95.6232
35,52,7.6104
35,53,67.4781
35,55,3.5464
35,56,1.8082
36,1,2.5184
36,3,75.3626
36,4,82.3405
36,5,22.8353
36,6,110.9477
36,7,3.1366
36,8,21.7215
36,9,39.9583
36,11,8.0342
36,14,0.0091064
36,16,95.5857
36,19,40.8932
36,23,30.018
36,24,73.2825
36,27,74.4805
36,30,76.7446
36,33,30.8407
36,35,35.5608
36,39,21.3916
36,40,131.5984
36,42,3.1638
36,43,71.305
36,45,23.9481
36,46,70.1573
36,47,1.8606
36,48,42.9129
36,53,11.9523
36,55,5.5636
36,56,20.0669
38,16,10.1691
38,21,218.5295
38,22,94.8145
38,23,11.6851
38,32,18.6162
38,50,102.2977
38,51,22.9583
38,52,4.4799
39,2,21.9994
39,3,34.3626
39,4,5.4022
39,5,114.8757
39,6,14.8802
39,8,30.2582
39,9,5.1995
39,10,68.9672
39,11,49.9843
39,12,0.41456
39,14,14.6481
39,17,17.9118
39,18,14.5457
39,21,10.5943
39,22,6.9464
39,23,2.48
39,30,24.0557
39,33,34.2702
39,34,0.12513
39,35,56.5691
39,36,47.4406
39,40,44.5559
39,41,41.8108
39,42,6.7498
39,43,26.1022
39,44,10.0995
39,45,69.5385
39,48,15.5192
39,50,5.4765
39,52,6.4645
39,53,118.5037
39,54,4.3201
39,56,32.62
40,2,6.9625
40,3,35.998
40,4,151.9151
40,6,54.3036
40,10,28.6215
40,11,7.3231
40,12,21.3439
40,14,5.1393
40,16,141.2153
40,19,62.9261
40,23,46.5083
40,24,23.5059
40,25,63.8916
40,27,88.219
40,30,125.6593
40,32,3.2071
40,33,159.8382
40,35,61.1906
40,36,168.0263
40,39,51.9894
40,41,46.7569
40,42,63.7391
40,45,19.3529
40,48,16.2612
40,53,7.3653
40,54,60.5022
41,1,12.5322
41,2,9.4353
41,5,58.1104
41,8,16.5104
41,10,18.9742
41,11,4.8111
41,17,67.8818
41,18,34.4864
41,21,16.0847
41,27,16.3502
41,30,13.0457
41,33,11.2669
41,35,20.2003
41,36,11.6403
41,39,51.8684
41,40,10.3217
41,42,22.116
41,44,2.9201
41,45,2.0501
41,46,0.75564
41,47,3.0753
41,48,30.9447
41,50,22.245
41,52,5.3071
41,53,45.5155
41,54,3.1139
41,55,15.0006
42,1,0.86029
42,2,3.8724
42,3,31.2578
42,5,27.0885
42,6,26.1738
42,7,8.6475
42,9,8.6253
42,11,56.7153
42,12,16.6053
42,14,0.73441
42,17,2.8165
42,21,30.1538
42,23,35.4472
42,27,2.4744
42,30,11.007
42,33,1.2964
42,35,1.2395
42,36,1.1205
42,39,30.915
42,40,38.5428
42,41,13.0471
42,45,0.19799
42,48,3.1928
42,52,12.6274
42,53,48.4702
42,54,20.7693
42,55,75.8822
43,5,5.2939
43,17,0.46764
43,26,1.6972
43,30,2.759
43,35,6.1186
43,36,60.4476
43,39,16.4639
43,41,0.92328
43,45,4.341
43,46,3.5528
43,47,21.4642
43,48,19.2833
43,52,3.6658
43,53,0.33223
43,54,0.30939
43,56,732.5919
44,11,1.05
44,17,1.9856
44,19,1.1098
44,22,0.95881
44,26,0.79952
44,27,0.35439
44,30,4.5447
44,33,2.861
44,39,5.6874
44,41,7.3154
44,45,3.2398
44,47,13.3214
44,48,50.8832
44,53,3.2091
44,54,1.8809
44,56,471.3501
45,3,18.5723
45,5,16.042
45,11,34.5634
45,12,0.3543
45,27,4.493
45,30,33.1322
45,33,70.4943
45,35,3.657
45,36,40.3221
45,39,76.4093
45,40,10.7579
45,41,6.1369
45,43,6.7769
45,44,1.5004
45,48,6.486
45,50,54.1855
45,53,15.5235
45,56,3.418
46,1,0.44203
46,3,1.2043
46,11,13.8286
46,13,25.62
46,14,5.8695
46,16,16.7869
46,22,4.4368
46,23,39.7177
46,27,27.7467
46,32,72.0489
46,33,1.9764
46,36,75.6118
46,40,1.2339
46,45,0.52832
46,47,0.58564
46,51,79.7433
46,54,38.1223
47,2,1.9596
47,3,1.9168
47,4,0.13454
47,5,2.0122
47,9,0.64967
47,12,21.2083
47,13,0.17039
47,26,1.7069
47,28,0.59228
47,32,0.47524
47,33,6.5763
47,35,35.3953
47,36,4.9816
47,39,2.9332
47,40,0.27535
47,41,8.1095
47,43,15.6946
47,44,21.2121
47,45,4.2451
47,48,76.4666
47,53,8.2035
47,55,0.15377
47,56,34.5453
48,2,0.96586
48,3,8.1804
48,5,12.7202
48,6,18.2209
48,9,4.3316
48,12,3.097
48,14,2.8129
48,17,5.1678
48,26,54.5573
48,27,0.23813
48,30,5.637
48,32,4.2889
48,33,0.64254
48,34,0.41411
48,35,52.2708
48,36,55.5676
48,39,24.1938
48,40,0.47018
48,41,31.6152
48,42,6.4936
48,43,27.2795
48,44,42.5181
48,47,98.1104
48,53,10.9175
48,54,2.8753
48,55,0.85624
48,56,37.5406
50,2,151.0213
50,12,8.7463
50,15,77.3879
50,16,48.7009
50,18,4.7728
50,26,102.7178
50,27,9.4788
50,28,237.9983
50,29,3.0301
50,30,2.1989
50,32,116.9172
50,33,5.6371
50,34,77.5489
50,38,159.7985
50,39,18.6375
50,41,19.2675
50,45,3.2592
50,46,2.5404
50,52,62.4074
50,55,15.601
51,4,16.5517
51,5,3.5611
51,8,69.6873
51,11,12.8291
51,14,2.1771
51,16,93.2827
51,19,73.9974
51,21,134.7607
51,23,43.018
51,24,134.0617
51,28,16.353
51,38,20.557
51,46,69.6056
51,52,1.0623
51,54,141.8137
52,1,3.2336
52,7,20.8101
52,8,3.5002
52,9,0.24667
52,10,23.6904
52,12,11.8671
52,14,3.2554
52,23,2.9009
52,34,55.9548
52,36,0.032422
52,41,3.391
52,42,29.0025
52,44,1.8315
52,47,1.512
52,50,50.9934
52,55,16.5584
53,2,13.8137
53,3,6.1433
53,4,144.8301
53,5,103.3025
53,6,17.0493
53,7,15.4172
53,8,81.3269
53,9,26.8301
53,10,73.3952
53,11,24.0511
53,12,4.9307
53,13,17.3685
53,14,11.8945
53,17,121.8318
53,21,3.9041
53,30,16.7931
53,33,10.0442
53,34,7.0667
53,35,48.3787
53,39,97.0564
53,40,11.3497
53,41,40.1669
53,42,20.4326
53,43,2.4237
53,44,2.0169
53,45,6.5095
53,48,13.0889
53,52,8.7351
53,56,1.7938
54,1,5.1831
54,13,69.9552
54,15,104.5447
54,18,220.0315
54,26,139.9749
54,27,39.9824
54,32,63.6793
54,34,31.2903
54,39,14.0357
54,40,63.4818
54,41,12.6129
54,42,2.4909
54,43,0.64223
54,45,4.2324
54,46,21.7876
54,47,2.2868
54,48,7.4925
54,51,80.1176
54,52,12.2415
54,56,1.0997
55,8,91.9036
55,25,56.6611
55,32,17.4641
55,42,103.4898
55,47,6.9252
55,50,125.7108
