,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
11,-2.0419,174.2442,-1.6715,-55.2355,-109.9849,-8.8214,-24.2676,-140.0648,27.803,33.4717,0,-67.2693,-23.0603,0,-4.9452,-182.914,-5.3629,-7.4231,-40.827,0,-109.6981,-119.2272,-52.7922,-65.6505,70.6866,-22.2328,1.6548,-28.0456,2.9553,10.9039,-38.2202,4.5252,9.8201,-7.7167,28.7336,14.0385,0,-36.9201,41.8714,13.635,3.1442,-10.5358,-0.31138,-0.017016,31.8859,32.6863,-4.1061,7.6738,0,-125.7767,19.2401,2.1777,26.835,-21.5591,-17.2933,-3.0707
12,-0.85132,38.5094,26.7868,-28.0291,-23.2364,-9.9562,-14.16,-62.7175,-2.8109,105.2813,-21.2207,0,-14.8296,1.9248,3.9178,0,-21.3874,-22.2927,-36.696,0,-63.049,-23.4461,-28.9317,-26.7455,-12.4399,-21.1125,-5.3589,-27.9598,-1.8531,-1.5736,-22.8525,-4.0642,16.4419,-5.2726,26.8664,1.6405,0,-27.7028,16.5134,25.1191,-5.0366,15.8372,-4.3017,-1.7679,-3.5971,-6.7977,38.0549,-0.79411,0,45.4826,-25.0058,-2.0565,12.5106,-27.0748,0,-5.7541
13,1.6255,-5.5514,-9.614,-17.5413,-88.523,-19.6104,-12.6733,-51.289,-13.5018,-43.2592,-27.0317,-25.5292,0,-2.9118,171.0888,-43.0403,102.0572,157.0251,-27.144,0,-3.4983,-59.7468,-40.9334,-67.4544,31.7324,-43.4201,-15.7224,-16.6175,5.8173,-7.2288,-39.8785,-14.9312,-4.156,10.1366,-8.382,28.3828,0,-34.2854,8.8907,-16.0532,-8.3335,-10.2255,1.3882,-0.21257,-3.1368,18.0132,0.16654,-2.7195,0,-72.8276,32.687,-12.3146,67.3927,36.8094,-18.3983,0.91092
14,-0.31332,1.1921,-3.1158,-3.2611,-10.0504,-5.049,-1.7712,-8.4549,12.2764,7.0576,0,-5.921,-3.2177,0,1.5001,-12.7744,-2.1321,3.0393,2.5681,0,-6.7225,-6.1859,-7.8025,-0.41253,-6.0588,-0.26556,-0.54729,-2.8535,-0.27362,0.97203,-3.408,-0.25795,-1.3626,-1.1428,1.3145,-0.48987,0,-5.5531,16.5544,0.87441,-2.6632,1.2577,-0.3366,-0.091396,-0.63932,0.815,-0.5033,-1.1509,0,-8.4466,-1.9072,-0.87123,-0.29404,2.1314,0,-1.265
15,-0.7604,-11.6648,-15.4618,-8.8896,130.2799,-18.6837,107.3531,-35.3138,-4.5007,-12.5017,-13.0367,12.1259,301.9093,-4.8276,0,-41.4525,398.1209,-6.3296,-28.1248,0,1.7024,4.1966,-27.4859,-24.9878,-53.8502,166.9333,-12.2948,-46.8042,-1.1415,-4.2802,-48.5179,-6.095,-9.9692,22.2342,-28.2529,-33.9601,0,-33.5623,4.6437,-13.9453,2.7281,-37.4891,1.098,0,-1.9645,-6.6413,1.6193,-1.5206,0,81.27,-13.1524,7.2573,-81.2445,209.606,-17.6623,0.34079
16,24.3756,-17.7206,80.5969,29.1829,-139.8707,31.4244,65.87,-134.1643,185.8493,-75.7304,-167.9103,0,-43.3564,-10.7669,-27.358,0,33.1432,-39.0517,0,0,-128.9543,-122.8266,-70.4855,-70.7971,408.1269,-46.9101,56.058,-87.3857,-1.2089,0.13061,-48.4435,-38.7158,0.16088,-8.6526,82.5979,68.6485,0,-36.885,-20.2766,81.9938,3.6891,-82.4279,-4.4628,-3.461,-5.9999,36.7951,-5.673,3.7412,0,-58.1106,82.8162,-14.3398,-20.5636,-61.0333,-5.8834,-22.0308
17,0.76782,1.9177,-12.7778,-19.2803,27.1627,-44.3082,-40.2209,-38.3604,-11.3731,-32.4499,-3.1115,-28.3,97.6838,-3.4421,225.1377,16.1881,0,506.9503,-24.7785,0,-67.4916,-42.4573,-44.069,-15.0501,-34.5268,-32.8543,-10.9094,-33.5423,-1.2054,3.1762,-50.9484,-39.021,-13.2169,-4.5422,1.9095,-34.9476,0,-64.1223,32.0106,-33.3217,6.7919,-21.4883,-1.3429,-0.041485,-5.2629,-10.5162,-0.43867,7.5199,0,-144.9984,-27.9507,-0.56315,68.673,-45.1699,-36.5276,3.1204
18,1.9277,-1.9142,-14.49,-27.3801,92.7912,-20.1078,92.8268,-32.5743,-0.65111,-25.2578,-12.4732,-15.0346,106.4715,2.2675,130.2513,-45.6265,390.1415,0,-18.0785,0,-18.0551,13.7137,-30.423,-38.7894,-27.6929,39.1406,-8.2934,4.8592,-1.5015,3.4455,-16.6744,-17.5778,7.7447,-8.9225,-28.3026,-38.3934,0,-31.6644,13.6452,-25.006,44.4862,-4.1582,-2.5121,0.25919,-2.9258,-14.5745,-0.070389,-1.0013,0,9.8683,-33.293,-12.3302,-71.1428,135.6687,-24.0714,2.4418
19,2.5358,-37.3092,16.2523,133.8845,-87.7371,135.993,-29.8013,-79.2735,-35.0234,-82.0916,-3.1095,-62.5802,-29.0355,-1.8276,-5.129,0,-28.5861,-29.4085,0,0,-13.7127,-58.9537,6.7769,-31.6918,139.2424,-16.0707,65.1931,-54.9329,-0.88642,-0.31148,-35.286,-32.1007,13.7104,-4.984,124.4849,38.4623,0,-56.8645,-10.3533,60.5538,-10.5487,-64.0519,-1.229,-2.5042,-5.5118,20.975,-2.8282,2.9597,0,57.1631,76.2249,-10.7166,-25.2456,-39.9308,-72.1871,2.2716
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
