97,,Gloucester Road (North)  Kensington,51.49792478,-0.183834706,13,3,TRUE,FALSE,FALSE
98,,Hampstead Road  Euston,51.52554222,-0.138231303,30,24,TRUE,FALSE,FALSE
99,,Old Quebec Street  Marylebone,51.51457763,-0.158264483,12,4,TRUE,FALSE,FALSE
100,,Albert Embankment  Vauxhall,51.49043573,-0.122806861,15,9,TRUE,FALSE,FALSE
101,,Queen Street  Bank,51.51155322,-0.0929401,8,14,TRUE,FALSE,FALSE
102,,Jewry Street  Aldgate,51.51340693,-0.076793375,10,7,TRUE,FALSE,FALSE
103,,Vicarage Gate  Kensington,51.50472376,-0.192538767,0,18,TRUE,FALSE,FALSE
104,,Crosswall  Tower,51.51159481,-0.077121322,24,10,TRUE,FALSE,FALSE
105,,Westbourne Grove  Bayswater,51.51552971,-0.190240716,1,25,TRUE,FALSE,FALSE
106,,Woodstock Street  Mayfair,51.51410514,-0.147301667,9,12,TRUE,FALSE,FALSE
107,,Finsbury Leisure Centre  St. Luke's,51.52600832,-0.096317627,1,19,TRUE,FALSE,FALSE
108,,Abbey Orchard Street  Westminster,51.49812559,-0.132102166,26,3,TRUE,FALSE,FALSE
109,,Soho Square   Soho,51.51563144,-0.132328837,37,0,TRUE,FALSE,FALSE
110,,Wellington Road  St. John's Wood,51.53304322,-0.172528678,2,15,TRUE,FALSE,FALSE
111,,Park Lane   Hyde Park,51.5100172,-0.157275636,17,11,TRUE,FALSE,FALSE
112,,Stonecutter Street  Holborn,51.51580998,-0.105270275,19,1,TRUE,FALSE,FALSE
113,,Gloucester Road (Central)  South Kensington,51.49646288,-0.183289032,5,14,TRUE,FALSE,FALSE
114,,Park Road (Baker Street)  Regent's Park,51.52451738,-0.158963647,6,16,TRUE,FALSE,FALSE
115,,Braham Street  Aldgate,51.51423368,-0.073537654,31,3,TRUE,FALSE,FALSE
116,,Little Argyll Street  West End,51.51449962,-0.141423695,7,14,TRUE,FALSE,FALSE
117,,Lollard Street  Vauxhall,51.49288067,-0.114934001,8,17,TRUE,FALSE,FALSE
118,,Rochester Row  Westminster,51.49582705,-0.13547809,7,6,TRUE,FALSE,FALSE
119,,Bath Street  St. Luke's,51.52589324,-0.090847761,15,3,TRUE,FALSE,FALSE
120,,The Guildhall  Guildhall,51.51573534,-0.093080779,13,4,TRUE,FALSE,FALSE
121,,Baker Street  Marylebone,51.51891348,-0.156166631,5,17,TRUE,FALSE,FALSE
122,,Norton Folgate  Liverpool Street,51.52111369,-0.078869751,21,2,TRUE,FALSE,FALSE
123,,St. John Street  Finsbury,51.52836014,-0.104724625,3,15,TRUE,FALSE,FALSE
124,,Eaton Square  Belgravia,51.49654462,-0.150905245,9,11,TRUE,FALSE,FALSE
125,,Borough High Street  The Borough,51.50069491,-0.094524319,15,6,TRUE,FALSE,FALSE
126,,Museum of London  Barbican,51.51782144,-0.096496865,52,0,TRUE,FALSE,FALSE
127,,Wood Street  Guildhall,51.51700801,-0.09388536,3,14,TRUE,FALSE,FALSE
128,,Emperor's Gate  South Kensington,51.49536226,-0.185296516,10,12,TRUE,FALSE,FALSE
129,,Golden Square  Soho,51.5118973,-0.137043852,17,1,TRUE,FALSE,FALSE
130,,Tower Gardens   Tower,51.50950627,-0.075459482,24,0,TRUE,FALSE,FALSE
132,,Bethnal Green Road  Shoreditch,51.52364804,-0.074754872,2,20,TRUE,FALSE,FALSE
133,,Derry Street  Kensington,51.50136494,-0.191462381,13,5,TRUE,FALSE,FALSE
134,,Wapping High Street  Wapping,51.50482186,-0.067820689,3,17,TRUE,FALSE,FALSE
135,,Clerkenwell Green  Clerkenwell,51.52326004,-0.104708922,21,0,TRUE,FALSE,FALSE
136,,Queen Victoria Street  St. Paul's,51.51196176,-0.097441687,32,0,TRUE,FALSE,FALSE
137,,Bourne Street  Belgravia,51.49087475,-0.153319609,3,13,TRUE,FALSE,FALSE
138,,Green Street  Mayfair,51.51227622,-0.157436972,4,15,TRUE,FALSE,FALSE
139,,Lambeth Road  Vauxhall,51.49488108,-0.117974901,9,9,TRUE,FALSE,FALSE
140,,Finsbury Square   Moorgate,51.52096262,-0.085634242,33,0,TRUE,FALSE,FALSE
141,,Chapel Place  Marylebone,51.51530805,-0.147203711,23,6,TRUE,FALSE,FALSE
142,,West Cromwell Road  Earl's Court,51.49372451,-0.198286569,1,23,TRUE,FALSE,FALSE
